URL,Bezirk,Minuspunkte,Note,RestaurantName,pubDate,Adresse
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/211,"Berlin - Charlottenburg-Wilmersdorf
",,sehr gut,Dannies Schlossgarten,"Tue, 05 Jun 2012 00:00:00 +0200","Schloßstr. 64, 14059 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/209,"Berlin - Charlottenburg-Wilmersdorf
","

  
 14
",gut,Restaurant Eosander,"Tue, 05 Jun 2012 00:00:00 +0200","Spandauer Damm 3-5, 14059 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/207,"Berlin - Charlottenburg-Wilmersdorf
","

  
 5
",gut,Pratirio,"Thu, 10 May 2012 00:00:00 +0200","Knesebeckstr. 22, 10623 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/205,"Berlin - Charlottenburg-Wilmersdorf
","

  
 21
",zufriedenstellend,China Restaurant,"Fri, 11 May 2012 00:00:00 +0200","Kaiserin-Augusta-Allee 81, 10589 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/203,"Berlin - Charlottenburg-Wilmersdorf
","

  
 13
",gut,Pascarella,"Tue, 15 May 2012 00:00:00 +0200","Schlüterstr. 69, 10625 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/201,"Berlin - Charlottenburg-Wilmersdorf
","

  
 23
",zufriedenstellend,Sagano,"Wed, 14 Dec 2011 00:00:00 +0100","Kurfürstendamm 182-183, 10707 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/199,"Berlin - Charlottenburg-Wilmersdorf
","

  
 2
",gut,Stachelbeere,"Mon, 02 Jan 2012 00:00:00 +0100","Misdroyer Str. 35, 14199 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/197,"Berlin - Charlottenburg-Wilmersdorf
","

  
 43
",ausreichend,Joe Beau Lais,"Tue, 10 Jan 2012 00:00:00 +0100","Delbrückstr. 37, 14193 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/195,"Berlin - Charlottenburg-Wilmersdorf
","

  
 18
",gut,Marende,"Mon, 02 Jan 2012 00:00:00 +0100","Zoppoter Str. 1, 14199 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/193,"Berlin - Charlottenburg-Wilmersdorf
","

  
 18
",gut,Athena - Grill,"Tue, 21 Feb 2012 00:00:00 +0100","Bundesplatz 2, 10715 Berlin"
